AverageIncome,GreenUsers,NormalUsers,Period,PriceOfGreenDelivery,PriceOfNormalDelivery,QwithGreen,QwithNormal,SimulationIndex,TotalEmission,TotalQ,TotalUtility
2367.006237953423,268,732,6,21,8,1844.79462617714,3306.500793761763,2,4966.815957321187,5151.295419938902,6170.759061663314
2367.006237953423,508,492,7,21,8,3214.1541488884423,1986.3560075985226,2,4879.094741598121,5200.510156486965,6178.331085116916
2367.006237953423,273,727,8,21,8,1895.6565256385413,3328.785102059758,2,5034.875975134446,5224.4416276983,6186.570378337076
2367.006237953423,512,488,9,21,8,3298.835998500033,1975.7513643969503,2,4944.703763046984,5274.587362896984,6194.1363226105905
2367.006237953423,265,735,10,21,8,1866.8629261047613,3430.9388821584266,2,5111.115515652711,5297.801808263188,6202.397111273193
2367.006237953423,523,477,11,21,8,3394.743305198254,1955.3636093849093,2,5010.632584063336,5350.1069145831625,6209.992811102782
2367.006237953423,277,723,12,21,8,1978.8875190557337,3394.836616249189,2,5175.835383399349,5373.724135304923,6218.233833281044
2367.006237953423,525,475,13,21,8,3442.8857847685,1983.3306951989728,2,5081.927901490624,5426.216479967473,6225.821424296896
2367.006237953423,275,725,14,21,8,1986.5969667586871,3462.6600423497034,2,5250.597312432522,5449.257009108391,6234.03871514889
2367.006237953423,533,467,15,21,8,3524.949519017912,1978.1664562287008,2,5150.621023344826,5503.115975246613,6241.6565660574815
2367.006237953423,287,713,16,21,8,2068.5490539305147,3458.1541871584204,2,5319.848335695884,5526.703241088935,6249.841751232812
2367.006237953423,526,474,17,21,8,3533.2763312202705,2047.098145057732,2,5227.046843155973,5580.374476278002,6257.508125509906
2367.006237953423,306,694,18,21,8,2228.788112455537,3377.472095934165,2,5383.381397144151,5606.260208389702,6265.6390580498255
2367.006237953423,522,478,19,21,8,3531.707859423415,2127.2981107749533,2,5305.835184256028,5659.005970198368,6273.361948449174
2367.006237953423,328,672,20,21,8,2402.5580335510026,3283.884563266941,2,5446.186793462843,5686.442596817944,6281.404587416033
2367.006237953423,510,490,21,21,8,3505.918757723095,2231.9170770208066,2,5387.243958971594,5737.8358347439025,6289.132694009408
2367.006237953423,342,658,22,21,8,2523.193856029631,3244.396232747597,2,5515.270703174265,5767.590088777229,6297.286021348192
2367.006237953423,501,499,23,21,8,3504.2699061902085,2314.240364035442,2,5468.08327960663,5818.510270225652,6304.997897443482
2366.965568006756,130,870,0,24,8,1063.7730175889862,3903.2333316472636,3,4860.629047477351,4967.00634923625,6134.4521173684225
2366.965568006756,495,505,1,24,8,3053.0167014213434,1927.960136976264,3,4675.675168255474,4980.976838397607,6130.167563894782
2366.965568006756,198,802,2,24,8,1407.1208560285288,3595.9937801087285,3,4862.402550534405,5003.1146361372585,6138.763787988499
2366.965568006756,447,553,3,24,8,2851.6309099572563,2198.958958120186,3,4765.426777081717,5050.5898680774435,6146.048474523389
2366.965568006756,254,746,4,24,8,1775.372773424665,3302.6182104311865,3,4900.453706513385,5077.990983855852,6154.470622129255
2366.965568006756,400,600,5,24,8,2631.780200409036,2488.940870228164,3,4857.543050596296,5120.721070637199,6161.907391737781
2366.965568006756,288,712,6,24,8,2014.9823601013925,3136.8503784170643,3,4950.334502508318,5151.832738518457,6170.152533130645
2366.965568006756,393,607,7,24,8,2615.224035361464,2577.8050361558644,3,4931.506667981181,5193.029071517329,6177.801369876945
2366.965568006756,306,694,8,24,8,2127.943382144685,3097.432118442972,3,5012.581162373187,5225.3755005876565,6185.9210611841345
2366.965568006756,383,617,9,24,8,2606.4355861971803,2659.690482777233,3,5005.482510354692,5266.126068974414,6193.624198808748
2366.965568006756,322,678,10,24,8,2260.7294378759843,3039.418524010696,3,5074.075018099079,5300.14796188668,6201.702961634461
2366.965568006756,372,628,11,24,8,2577.294826382493,2763.126822541241,3,5082.692166285486,5340.421648923734,6209.508697226923
2366.965568006756,333,667,12,24,8,2348.6160325863643,3027.2053359273223,3,5140.959765255051,5375.821368513687,6217.528098595683
2366.965568006756,377,623,13,24,8,2625.940875806342,2789.958639642445,3,5153.305427868154,5415.8995154487875,6225.345062489482
2366.965568006756,339,661,14,24,8,2418.200062143362,3033.9259114338024,3,5210.305967362826,5452.125973577165,6233.347799145179
2366.965568006756,376,624,15,24,8,2656.737062608625,2835.1742147020454,3,5226.237571049811,5491.91127731067,6241.16241341165
2366.965568006756,347,653,16,24,8,2493.429619560983,3035.9759261565205,3,5280.062583761403,5529.405545717504,6249.196017465094
2366.965568006756,380,620,17,24,8,2716.960500691822,2853.0206326306566,3,5298.2850832533,5569.981133322479,6257.020781579436
2366.965568006756,347,653,18,24,8,2536.410131200952,3070.7858343761122,3,5353.554952456971,5607.195965577064,6265.055816833376
2366.965568006756,400,600,19,24,8,2876.4557640086546,2773.2259194179796,3,5362.03610702577,5649.681683426635,6272.871117740385
2366.965568006756,350,650,20,24,8,2574.0474755053483,3111.885562526432,3,5428.528290481247,5685.933038031781,6280.801386256755
2366.965568006756,404,596,21,24,8,2924.9169928137103,2804.233317555153,3,5436.65861108749,5729.150310368864,6288.595734775916
2366.965568006756,354,646,22,24,8,2624.359293190288,3142.161628527391,3,5504.08499239865,5766.52092171768,6296.671103795821
2366.965568006756,410,590,23,24,8,3008.0711201528147,2802.372870850388,3,5509.636878987923,5810.4439910032015,6304.482066505485
2366.948745584635,87,913,0,27,8,756.5754225000928,4205.7261385372085,4,4886.64401878729,4962.3015610372995,6134.355423948066
2366.948745584635,452,548,1,27,8,2855.055782198161,2121.9675372789357,4,4691.517741257283,4977.023319477097,6129.578087228941
2366.948745584635,188,812,2,27,8,1358.1331201322384,3643.6019068655487,4,4865.9217149845645,5001.735026997788,6138.369296770093
2366.948745584635,370,630,3,27,8,2463.5441497174274,2582.3456617114816,4,4799.535396457162,5045.8898114289095,6145.525465358044
2366.948745584635,248,752,4,27,8,1758.780511388869,3317.4352895857082,4,4900.337749835692,5076.215800974577,6153.915743284376
2366.948745584635,330,670,5,27,8,2255.744353275497,2859.62620787882,4,4889.796125826767,5115.370561154317,6161.467808914121
2366.948745584635,273,727,6,27,8,1929.247730729488,3220.1217071446863,4,4956.444664801226,5149.369437874175,6169.641151447611
2366.948745584635,329,671,7,27,8,2278.436647304346,2909.6752227175,4,4960.268205291414,5188.111870021847,6177.393757241753
2366.948745584635,289,711,8,27,8,2069.8270016299853,3153.0690352385823,4,5015.913336705569,5222.896036868568,6185.441605823133
2366.948745584635,322,678,9,27,8,2279.765000620762,2981.703038842508,4,5033.491539401193,5261.4680394632705,6193.266302498752
2366.948745584635,309,691,10,27,8,2227.4372606933475,3070.5831892377314,4,5075.276723861743,5298.020449931079,6201.288620303994
2366.948745584635,319,681,11,27,8,2296.54556454374,3039.5284430848674,4,5106.419451174234,5336.074007628607,6209.15574726869
2366.948745584635,311,689,12,27,8,2261.6276062495504,3111.7773780669513,4,5147.242223691546,5373.404984316501,6217.1040398458035
2366.948745584635,317,683,13,27,8,2320.735919651105,3090.9794215561146,4,5179.6417492421115,5411.71534120722,6225.004396631938
2366.948745584635,315,685,14,27,8,2321.954324087076,3127.510432995469,4,5217.269324673836,5449.4647570825455,6232.907191683832
2366.948745584635,321,679,15,27,8,2376.4311128721492,3111.7283663978346,4,5250.5163679827665,5488.1594792699825,6240.8239184477425
2366.948745584635,326,674,16,27,8,2421.262500931211,3105.7031001201044,4,5284.839350958196,5526.9656010513145,6248.747550086574
2366.948745584635,330,670,17,27,8,2457.620260637486,3108.492829745453,4,5320.351064319191,5566.11309038294,6256.6764913326515
2366.948745584635,331,669,18,27,8,2476.072291103787,3129.262854777389,4,5357.7279167707975,5605.335145881176,6264.60751584534
2366.948745584635,335,665,19,27,8,2514.636825308003,3130.2314118823692,4,5393.404554659573,5644.868237190372,6272.51395907334
2366.948745584635,334,666,20,27,8,2526.700542772483,3157.352939887772,4,5431.383428383007,5684.053482660254,6280.375533019488
