Period,AgentId,Budget,SelectedDeliveryPlan,UtilityIfGreen,UtilityIfNormal,UtilityDisparity,Emissions,EcoCon
9,3,1473.8994483651597,Normal,5.792673843095901,5.80258771786594,-0.009913874770038689,4.0779155347488985,0.06395430070141105
10,3,1473.8994483651597,Normal,5.792673843095901,5.80258771786594,-0.009913874770038689,4.0779155347488985,0.06395430070141105
11,3,1473.8994483651597,Normal,5.792673843095901,5.80258771786594,-0.009913874770038689,4.0779155347488985,0.06395430070141105
12,3,1473.8994483651597,Normal,5.792673843095901,5.80258771786594,-0.009913874770038689,4.0779155347488985,0.06395430070141105
13,3,1473.8994483651597,Normal,5.792673843095901,5.80258771786594,-0.009913874770038689,4.0779155347488985,0.06395430070141105
14,3,1473.8994483651597,Normal,5.792673843095901,5.80258771786594,-0.009913874770038689,4.0779155347488985,0.06395430070141105
15,3,1473.8994483651597,Normal,5.792673843095901,5.80258771786594,-0.009913874770038689,4.0779155347488985,0.06395430070141105
16,3,1473.8994483651597,Normal,5.792673843095901,5.80258771786594,-0.009913874770038689,4.0779155347488985,0.06395430070141105
17,3,1473.8994483651597,Normal,5.792673843095901,5.80258771786594,-0.009913874770038689,4.0779155347488985,0.06395430070141105
18,3,1473.8994483651597,Normal,5.792673843095901,5.80258771786594,-0.009913874770038689,4.0779155347488985,0.06395430070141105
19,3,1473.8994483651597,Normal,5.792673843095901,5.80258771786594,-0.009913874770038689,4.0779155347488985,0.06395430070141105
20,3,1473.8994483651597,Normal,5.792673843095901,5.80258771786594,-0.009913874770038689,4.0779155347488985,0.06395430070141105
21,3,1473.8994483651597,Normal,5.792673843095901,5.80258771786594,-0.009913874770038689,4.0779155347488985,0.06395430070141105
22,3,1473.8994483651597,Normal,5.792673843095901,5.80258771786594,-0.009913874770038689,4.0779155347488985,0.06395430070141105
23,3,1473.8994483651597,Normal,5.792673843095901,5.80258771786594,-0.009913874770038689,4.0779155347488985,0.06395430070141105
0,4,1604.6023549462464,Normal,6.118697355470962,6.130820137165842,-0.012122781694880125,4.128255023051523,0.02263361798486073
1,4,1604.6023549462464,Normal,6.118697355470962,6.130820137165842,-0.012122781694880125,4.128255023051523,0.02263361798486073
2,4,1604.6023549462464,Normal,6.118697355470962,6.130820137165842,-0.012122781694880125,4.128255023051523,0.02263361798486073
3,4,1604.6023549462464,Normal,6.118697355470962,6.130820137165842,-0.012122781694880125,4.128255023051523,0.02263361798486073
4,4,1604.6023549462464,Normal,6.118697355470962,6.130820137165842,-0.012122781694880125,4.128255023051523,0.02263361798486073
5,4,1604.6023549462464,Normal,6.118697355470962,6.130820137165842,-0.012122781694880125,4.128255023051523,0.02263361798486073
6,4,1604.6023549462464,Normal,6.118697355470962,6.130820137165842,-0.012122781694880125,4.128255023051523,0.02263361798486073
7,4,1604.6023549462464,Normal,6.118697355470962,6.130820137165842,-0.012122781694880125,4.128255023051523,0.02263361798486073
8,4,1604.6023549462464,Normal,6.118697355470962,6.130820137165842,-0.012122781694880125,4.128255023051523,0.02263361798486073
9,4,1604.6023549462464,Normal,6.118697355470962,6.130820137165842,-0.012122781694880125,4.128255023051523,0.02263361798486073
10,4,1604.6023549462464,Normal,6.118697355470962,6.130820137165842,-0.012122781694880125,4.128255023051523,0.02263361798486073
11,4,1604.6023549462464,Normal,6.118697355470962,6.130820137165842,-0.012122781694880125,4.128255023051523,0.02263361798486073
12,4,1604.6023549462464,Normal,6.118697355470962,6.130820137165842,-0.012122781694880125,4.128255023051523,0.02263361798486073
13,4,1604.6023549462464,Normal,6.118697355470962,6.130820137165842,-0.012122781694880125,4.128255023051523,0.02263361798486073
14,4,1604.6023549462464,Normal,6.118697355470962,6.130820137165842,-0.012122781694880125,4.128255023051523,0.02263361798486073
15,4,1604.6023549462464,Normal,6.118697355470962,6.130820137165842,-0.012122781694880125,4.128255023051523,0.02263361798486073
16,4,1604.6023549462464,Normal,6.118697355470962,6.130820137165842,-0.012122781694880125,4.128255023051523,0.02263361798486073
17,4,1604.6023549462464,Normal,6.118697355470962,6.130820137165842,-0.012122781694880125,4.128255023051523,0.02263361798486073
18,4,1604.6023549462464,Normal,6.118697355470962,6.130820137165842,-0.012122781694880125,4.128255023051523,0.02263361798486073
19,4,1604.6023549462464,Normal,6.118697355470962,6.130820137165842,-0.012122781694880125,4.128255023051523,0.02263361798486073
20,4,1604.6023549462464,Normal,6.118697355470962,6.130820137165842,-0.012122781694880125,4.128255023051523,0.02263361798486073
21,4,1604.6023549462464,Normal,6.118697355470962,6.130820137165842,-0.012122781694880125,4.128255023051523,0.02263361798486073
22,4,1604.6023549462464,Normal,6.118697355470962,6.130820137165842,-0.012122781694880125,4.128255023051523,0.02263361798486073
23,4,1604.6023549462464,Normal,6.118697355470962,6.130820137165842,-0.012122781694880125,4.128255023051523,0.02263361798486073
0,5,1306.4796985127803,Normal,5.951735623945321,5.967626898699777,-0.01589127475445551,3.31052750700778,0.01901116062240959
1,5,1306.4796985127803,Normal,5.951735623945321,5.967626898699777,-0.01589127475445551,3.31052750700778,0.01901116062240959
2,5,1306.4796985127803,Normal,5.951735623945321,5.967626898699777,-0.01589127475445551,3.31052750700778,0.01901116062240959
3,5,1306.4796985127803,Normal,5.951735623945321,5.967626898699777,-0.01589127475445551,3.31052750700778,0.01901116062240959
4,5,1306.4796985127803,Normal,5.951735623945321,5.967626898699777,-0.01589127475445551,3.31052750700778,0.01901116062240959
5,5,1306.4796985127803,Normal,5.951735623945321,5.967626898699777,-0.01589127475445551,3.31052750700778,0.01901116062240959
6,5,1306.4796985127803,Normal,5.951735623945321,5.967626898699777,-0.01589127475445551,3.31052750700778,0.01901116062240959
7,5,1306.4796985127803,Normal,5.951735623945321,5.967626898699777,-0.01589127475445551,3.31052750700778,0.01901116062240959
8,5,1306.4796985127803,Normal,5.951735623945321,5.967626898699777,-0.01589127475445551,3.31052750700778,0.01901116062240959
9,5,1306.4796985127803,Normal,5.951735623945321,5.967626898699777,-0.01589127475445551,3.31052750700778,0.01901116062240959
10,5,1306.4796985127803,Normal,5.951735623945321,5.967626898699777,-0.01589127475445551,3.31052750700778,0.01901116062240959
11,5,1306.4796985127803,Normal,5.951735623945321,5.967626898699777,-0.01589127475445551,3.31052750700778,0.01901116062240959
12,5,1306.4796985127803,Normal,5.951735623945321,5.967626898699777,-0.01589127475445551,3.31052750700778,0.01901116062240959
13,5,1306.4796985127803,Normal,5.951735623945321,5.967626898699777,-0.01589127475445551,3.31052750700778,0.01901116062240959
14,5,1306.4796985127803,Normal,5.951735623945321,5.967626898699777,-0.01589127475445551,3.31052750700778,0.01901116062240959
15,5,1306.4796985127803,Normal,5.951735623945321,5.967626898699777,-0.01589127475445551,3.31052750700778,0.01901116062240959
16,5,1306.4796985127803,Normal,5.951735623945321,5.967626898699777,-0.01589127475445551,3.31052750700778,0.01901116062240959
17,5,1306.4796985127803,Normal,5.951735623945321,5.967626898699777,-0.01589127475445551,3.31052750700778,0.01901116062240959
18,5,1306.4796985127803,Normal,5.951735623945321,5.967626898699777,-0.01589127475445551,3.31052750700778,0.01901116062240959
19,5,1306.4796985127803,Normal,5.951735623945321,5.967626898699777,-0.01589127475445551,3.31052750700778,0.01901116062240959
20,5,1306.4796985127803,Normal,5.951735623945321,5.967626898699777,-0.01589127475445551,3.31052750700778,0.01901116062240959
21,5,1306.4796985127803,Normal,5.951735623945321,5.967626898699777,-0.01589127475445551,3.31052750700778,0.01901116062240959
22,5,1306.4796985127803,Normal,5.951735623945321,5.967626898699777,-0.01589127475445551,3.31052750700778,0.01901116062240959
23,5,1306.4796985127803,Normal,5.951735623945321,5.967626898699777,-0.01589127475445551,3.31052750700778,0.01901116062240959
0,6,2730.780783861359,Normal,6.5486141045150665,6.552488305728071,-0.0038742012130041914,6.825316326861255,0.03633916586662932
1,6,2730.780783861359,Normal,6.5486141045150665,6.552488305728071,-0.0038742012130041914,6.825316326861255,0.03633916586662932
2,6,2730.780783861359,Normal,6.5486141045150665,6.552488305728071,-0.0038742012130041914,6.825316326861255,0.03633916586662932
3,6,2730.780783861359,Normal,6.5486141045150665,6.552488305728071,-0.0038742012130041914,6.825316326861255,0.03633916586662932
4,6,2730.780783861359,Normal,6.5486141045150665,6.552488305728071,-0.0038742012130041914,6.825316326861255,0.03633916586662932
5,6,2730.780783861359,Normal,6.5486141045150665,6.552488305728071,-0.0038742012130041914,6.825316326861255,0.03633916586662932
6,6,2730.780783861359,Normal,6.5486141045150665,6.552488305728071,-0.0038742012130041914,6.825316326861255,0.03633916586662932
7,6,2730.780783861359,Normal,6.5486141045150665,6.552488305728071,-0.0038742012130041914,6.825316326861255,0.03633916586662932
8,6,2730.780783861359,Normal,6.5486141045150665,6.552488305728071,-0.0038742012130041914,6.825316326861255,0.03633916586662932
9,6,2730.780783861359,Normal,6.5486141045150665,6.552488305728071,-0.0038742012130041914,6.825316326861255,0.03633916586662932
10,6,2730.780783861359,Normal,6.5486141045150665,6.552488305728071,-0.0038742012130041914,6.825316326861255,0.03633916586662932
11,6,2730.780783861359,Normal,6.5486141045150665,6.552488305728071,-0.0038742012130041914,6.825316326861255,0.03633916586662932
12,6,2730.780783861359,Normal,6.5486141045150665,6.552488305728071,-0.0038742012130041914,6.825316326861255,0.03633916586662932
13,6,2730.780783861359,Normal,6.5486141045150665,6.552488305728071,-0.0038742012130041914,6.825316326861255,0.03633916586662932
14,6,2730.780783861359,Normal,6.5486141045150665,6.552488305728071,-0.0038742012130041914,6.825316326861255,0.03633916586662932
15,6,2730.780783861359,Normal,6.5486141045150665,6.552488305728071,-0.0038742012130041914,6.825316326861255,0.03633916586662932
16,6,2730.780783861359,Normal,6.5486141045150665,6.552488305728071,-0.0038742012130041914,6.825316326861255,0.03633916586662932
17,6,2730.780783861359,Normal,6.5486141045150665,6.552488305728071,-0.0038742012130041914,6.825316326861255,0.03633916586662932
18,6,2730.780783861359,Normal,6.5486141045150665,6.552488305728071,-0.0038742012130041914,6.825316326861255,0.03633916586662932
19,6,2730.780783861359,Normal,6.5486141045150665,6.552488305728071,-0.0038742012130041914,6.825316326861255,0.03633916586662932
20,6,2730.780783861359,Normal,6.5486141045150665,6.552488305728071,-0.0038742012130041914,6.825316326861255,0.03633916586662932
21,6,2730.780783861359,Normal,6.5486141045150665,6.552488305728071,-0.0038742012130041914,6.825316326861255,0.03633916586662932
22,6,2730.780783861359,Normal,6.5486141045150665,6.552488305728071,-0.0038742012130041914,6.825316326861255,0.03633916586662932
23,6,2730.780783861359,Normal,6.5486141045150665,6.552488305728071,-0.0038742012130041914,6.825316326861255,0.03633916586662932
0,7,1636.6604770979718,Normal,6.379579698401446,6.3912433157976904,-0.011663617396244774,3.1155074016081663,0.044812769263119744
1,7,1636.6604770979718,Normal,6.379579698401446,6.3912433157976904,-0.011663617396244774,3.1155074016081663,0.044812769263119744
2,7,1636.6604770979718,Normal,6.379579698401446,6.3912433157976904,-0.011663617396244774,3.1155074016081663,0.044812769263119744
3,7,1636.6604770979718,Normal,6.379579698401446,6.3912433157976904,-0.011663617396244774,3.1155074016081663,0.044812769263119744
4,7,1636.6604770979718,Normal,6.379579698401446,6.3912433157976904,-0.011663617396244774,3.1155074016081663,0.044812769263119744
5,7,1636.6604770979718,Normal,6.379579698401446,6.3912433157976904,-0.011663617396244774,3.1155074016081663,0.044812769263119744
6,7,1636.6604770979718,Normal,6.379579698401446,6.3912433157976904,-0.011663617396244774,3.1155074016081663,0.044812769263119744
7,7,1636.6604770979718,Normal,6.379579698401446,6.3912433157976904,-0.011663617396244774,3.1155074016081663,0.044812769263119744
8,7,1636.6604770979718,Normal,6.379579698401446,6.3912433157976904,-0.011663617396244774,3.1155074016081663,0.044812769263119744
9,7,1636.6604770979718,Normal,6.379579698401446,6.3912433157976904,-0.011663617396244774,3.1155074016081663,0.044812769263119744
10,7,1636.6604770979718,Normal,6.379579698401446,6.3912433157976904,-0.011663617396244774,3.1155074016081663,0.044812769263119744
11,7,1636.6604770979718,Normal,6.379579698401446,6.3912433157976904,-0.011663617396244774,3.1155074016081663,0.044812769263119744
12,7,1636.6604770979718,Normal,6.379579698401446,6.3912433157976904,-0.011663617396244774,3.1155074016081663,0.044812769263119744
13,7,1636.6604770979718,Normal,6.379579698401446,6.3912433157976904,-0.011663617396244774,3.1155074016081663,0.044812769263119744
14,7,1636.6604770979718,Normal,6.379579698401446,6.3912433157976904,-0.011663617396244774,3.1155074016081663,0.044812769263119744
15,7,1636.6604770979718,Normal,6.379579698401446,6.3912433157976904,-0.011663617396244774,3.1155074016081663,0.044812769263119744
16,7,1636.6604770979718,Normal,6.379579698401446,6.3912433157976904,-0.011663617396244774,3.1155074016081663,0.044812769263119744
17,7,1636.6604770979718,Normal,6.379579698401446,6.3912433157976904,-0.011663617396244774,3.1155074016081663,0.044812769263119744
18,7,1636.6604770979718,Normal,6.379579698401446,6.3912433157976904,-0.011663617396244774,3.1155074016081663,0.044812769263119744
19,7,1636.6604770979718,Normal,6.379579698401446,6.3912433157976904,-0.011663617396244774,3.1155074016081663,0.044812769263119744
20,7,1636.6604770979718,Normal,6.379579698401446,6.3912433157976904,-0.011663617396244774,3.1155074016081663,0.044812769263119744
21,7,1636.6604770979718,Normal,6.379579698401446,6.3912433157976904,-0.011663617396244774,3.1155074016081663,0.044812769263119744
22,7,1636.6604770979718,Normal,6.379579698401446,6.3912433157976904,-0.011663617396244774,3.1155074016081663,0.044812769263119744
23,7,1636.6604770979718,Normal,6.379579698401446,6.3912433157976904,-0.011663617396244774,3.1155074016081663,0.044812769263119744
0,8,1244.6595943107184,Normal,5.7951542544146255,5.811349997848305,-0.016195743433679688,3.4259743548570825,0.02469106249315028
1,8,1244.6595943107184,Normal,5.7951542544146255,5.811349997848305,-0.016195743433679688,3.4259743548570825,0.02469106249315028
2,8,1244.6595943107184,Normal,5.7951542544146255,5.811349997848305,-0.016195743433679688,3.4259743548570825,0.02469106249315028
3,8,1244.6595943107184,Normal,5.7951542544146255,5.811349997848305,-0.016195743433679688,3.4259743548570825,0.02469106249315028
4,8,1244.6595943107184,Normal,5.7951542544146255,5.811349997848305,-0.016195743433679688,3.4259743548570825,0.02469106249315028
5,8,1244.6595943107184,Normal,5.7951542544146255,5.811349997848305,-0.016195743433679688,3.4259743548570825,0.02469106249315028
6,8,1244.6595943107184,Normal,5.7951542544146255,5.811349997848305,-0.016195743433679688,3.4259743548570825,0.02469106249315028
7,8,1244.6595943107184,Normal,5.7951542544146255,5.811349997848305,-0.016195743433679688,3.4259743548570825,0.02469106249315028
8,8,1244.6595943107184,Normal,5.7951542544146255,5.811349997848305,-0.016195743433679688,3.4259743548570825,0.02469106249315028
9,8,1244.6595943107184,Normal,5.7951542544146255,5.811349997848305,-0.016195743433679688,3.4259743548570825,0.02469106249315028
10,8,1244.6595943107184,Normal,5.7951542544146255,5.811349997848305,-0.016195743433679688,3.4259743548570825,0.02469106249315028
11,8,1244.6595943107184,Normal,5.7951542544146255,5.811349997848305,-0.016195743433679688,3.4259743548570825,0.02469106249315028
12,8,1244.6595943107184,Normal,5.7951542544146255,5.811349997848305,-0.016195743433679688,3.4259743548570825,0.02469106249315028
13,8,1244.6595943107184,Normal,5.7951542544146255,5.811349997848305,-0.016195743433679688,3.4259743548570825,0.02469106249315028
14,8,1244.6595943107184,Normal,5.7951542544146255,5.811349997848305,-0.016195743433679688,3.4259743548570825,0.02469106249315028
15,8,1244.6595943107184,Normal,5.7951542544146255,5.811349997848305,-0.016195743433679688,3.4259743548570825,0.02469106249315028
16,8,1244.6595943107184,Normal,5.7951542544146255,5.811349997848305,-0.016195743433679688,3.4259743548570825,0.02469106249315028
17,8,1244.6595943107184,Normal,5.7951542544146255,5.811349997848305,-0.016195743433679688,3.4259743548570825,0.02469106249315028
18,8,1244.6595943107184,Normal,5.7951542544146255,5.811349997848305,-0.016195743433679688,3.4259743548570825,0.02469106249315028
19,8,1244.6595943107184,Normal,5.7951542544146255,5.811349997848305,-0.016195743433679688,3.4259743548570825,0.02469106249315028
20,8,1244.6595943107184,Normal,5.7951542544146255,5.811349997848305,-0.016195743433679688,3.4259743548570825,0.02469106249315028
21,8,1244.6595943107184,Normal,5.7951542544146255,5.811349997848305,-0.016195743433679688,3.4259743548570825,0.02469106249315028
22,8,1244.6595943107184,Normal,5.7951542544146255,5.811349997848305,-0.016195743433679688,3.4259743548570825,0.02469106249315028
23,8,1244.6595943107184,Normal,5.7951542544146255,5.811349997848305,-0.016195743433679688,3.4259743548570825,0.02469106249315028
0,9,1178.19525674798,Normal,5.173976716785058,5.188636118009994,-0.01465940122493592,4.820559411500735,0.02936475945470719
1,9,1178.19525674798,Normal,5.173976716785058,5.188636118009994,-0.01465940122493592,4.820559411500735,0.02936475945470719
2,9,1178.19525674798,Normal,5.173976716785058,5.188636118009994,-0.01465940122493592,4.820559411500735,0.02936475945470719
3,9,1178.19525674798,Normal,5.173976716785058,5.188636118009994,-0.01465940122493592,4.820559411500735,0.02936475945470719
4,9,1178.19525674798,Normal,5.173976716785058,5.188636118009994,-0.01465940122493592,4.820559411500735,0.02936475945470719
5,9,1178.19525674798,Normal,5.173976716785058,5.188636118009994,-0.01465940122493592,4.820559411500735,0.02936475945470719
6,9,1178.19525674798,Normal,5.173976716785058,5.188636118009994,-0.01465940122493592,4.820559411500735,0.02936475945470719
7,9,1178.19525674798,Normal,5.173976716785058,5.188636118009994,-0.01465940122493592,4.820559411500735,0.02936475945470719
8,9,1178.19525674798,Normal,5.173976716785058,5.188636118009994,-0.01465940122493592,4.820559411500735,0.02936475945470719
9,9,1178.19525674798,Normal,5.173976716785058,5.188636118009994,-0.01465940122493592,4.820559411500735,0.02936475945470719
